01m18s Incorrectly Guessed {'BOULDER', 'TWIST', 'STONE', 'DWAYNE'}
01m43s Incorrectly Guessed {'FRACTURE', 'CUT', 'PADS', 'SPRAIN'}
02m56s Found WORDS FOR ROCK: ['DWAYNE', 'PEBBLE', 'STONE', 'BOULDER']
03m08s Found INJURIES: ['BRUISE', 'SPRAIN', 'FRACTURE', 'TWIST']
03m43s Incorrectly Guessed {'TRAIL', 'CUT', 'PADS', 'ICE'}
04m12s Incorrectly Guessed {'BALL', 'STICK', 'PADS', 'NET'}
05m41s Incorrectly Guessed {'BALL', 'NET', 'PADS', 'ICE'}
06m32s Incorrectly Guessed {'BALL', 'STICK', 'PADS', 'ICE'}
06m51s Incorrectly Guessed {'BALL', 'STICK', 'NET', 'ICE'}
07m27s Incorrectly Guessed {'STICK', 'CUT', 'PADS', 'ICE'}
07m56s Found USED WHILST PLAYING ICED HOCKEY: ['PADS', 'STICK', 'NET', 'ICE']
15m53s Found PAPER X: ['PLANE', 'BALL', 'CUT', 'TRAIL']
15m53s All Connections Found in 12 guesses!
