00m48s Incorrectly Guessed {'BITE', 'GOBBLE', 'PUCKER', 'SMACK'}
01m22s Incorrectly Guessed {'SMACK', 'CHIRP', 'CLINK', 'TICK'}
02m12s Incorrectly Guessed {'BITE', 'WRAP', 'PUCKER', 'SMACK'}
04m50s Incorrectly Guessed {'BITE', 'TICK', 'PUCKER', 'SMACK'}
05m08s Incorrectly Guessed {'SMACK', 'CHIRP', 'PUCKER', 'BITE'}
05m51s Incorrectly Guessed {'PANTS', 'BAG', 'PURSE', 'WRAP'}
07m56s Incorrectly Guessed {'SMACK', 'SPACE', 'PUCKER', 'BITE'}
10m53s Found THINGS YOU DO TO LIPS: ['SMACK', 'PUCKER', 'PURSE', 'BITE']
12m01s Found ONOMATAPIA: ['CLINK', 'CHIRP', 'TICK', 'GOBBLE']
13m00s Incorrectly Guessed {'CARD', 'BAG', 'PANTS', 'WRAP'}
13m21s Incorrectly Guessed {'UP', 'BAG', 'PANTS', 'WRAP'}
14m01s Incorrectly Guessed {'BAG', 'BOX', 'PANTS', 'WRAP'}
17m42s Found GIFT _____: ['BOX', 'WRAP', 'BAG', 'CARD']
26m06s Found SQUARE _____: ['SPACE', 'DANCE', 'PANTS', 'UP']
26m06s All Connections Found in 14 guesses!
